기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
(주)피스티스,최병열,인천광역시 연수구 갯벌로145번길 15-6 (송도동),산업용로봇,"MES/POP/APS, CPS/디지털트윈","의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업"
(주)동연에스엔티,김문섭,부산광역시 동래구 온천장로107번길 10 (온천동),MES/POP/APS,"ERP, SCM/WMS, FEMS, QMS/CMMS, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 가죽. 가방 및 신발 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
솔바테크놀러지,양해수,서울특별시 금천구 가산디지털2로 184 (가산동),QMS/CMMS,"PLM/PDM, SCM/WMS, MES/POP/APS","펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 세인티,황재하,경기도 남양주시 다산지금로163번길 6 (다산동),MES/POP/APS,"SCM/WMS, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 의료용 물질 및 의약품 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
주식회사 피드원,강치원,대구광역시 남구 중앙대로22길 267 (봉덕동),MES/POP/APS,미등록,"식료품 제조업, 음료 제조업"
위미르(주),김영주,"경상남도 창원시 마산회원구 봉암북7길 21, 3동 601호 (봉암동, 정보산업진흥본부)",MES/POP/APS,"FEMS, 클라우드컴퓨팅, 제조빅데이터/제조AI","목재 및 나무제품 제조업; 가구 제외, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)삼일정보시스템,이권형,광주 광산구 도천동 621-15 중소기업지원센터 6층,MES/POP/APS,ERP,기타 기계 및 장비 제조업
지오지에스 주식회사,이봉균,경상남도 거제시 연초면 송정5길 112-8 ,제어시스템/컨트롤러,MES/POP/APS,"전기장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
MSTECH,최상일,대구광역시 달서구 성서공단로51길 48 (장동),MES/POP/APS,"산업용로봇, 제조빅데이터/제조AI","식료품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)위즈팩토리,배흥열,경상남도 창원시 의창구 창원대로18번길 46 (팔용동),MES/POP/APS,"제어시스템/컨트롤러, 센서/액추에이터, QMS/CMMS, 클라우드컴퓨팅, 제조빅데이터/제조AI, 컨설팅/사이버보안","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
(주)이엠에스,이한찬,인천광역시 남동구 은봉로 297 (논현동),산업용로봇,"MES/POP/APS, FEMS, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 펄프. 종이 및 종이제품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)케이원아이티,김관철,부산광역시 사하구 신산로 120 (신평동),MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, ERP, SCM/WMS","가죽. 가방 및 신발 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)에이치엔티,김태한,"경상북도 경산시 진량읍 대구대로 201, 산학협력단 R&DB 센터 1114호",산업용로봇,미등록,기타 기계 및 장비 제조업
(주)휴컨,강대근,대구광역시 동구 동대구로 465 (신천동),MES/POP/APS,제어시스템/컨트롤러,"식료품 제조업, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)심플소프트랩,최귀석,"경상남도 김해시 우암로 175(내동), A동 211호(내동, 김해법조타운) (주)심플소프트랩",MES/POP/APS,"ERP, SCM/WMS, FEMS, 클라우드컴퓨팅","고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 산업용 기계 및 장비 수리업"
건영기계,이성훈,대구광역시 달서구 성서공단로50길 21 (월암동),FEMS,"제어시스템/컨트롤러, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 펄프. 종이 및 종이제품 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 래딕스,민광식,대구광역시 달성군 구지면 국가산단서로71길 97,스마트장비,산업용로봇,"전기장비 제조업, 기타 기계 및 장비 제조업"
엠시스랩,"김형원,정성우","충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)",산업용로봇,"스마트장비, 식별시스템/머신비전",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
그린아이티,박정훈,대구광역시 남구 명덕로 104 (대명동) 전문관 615호,제조빅데이터/제조AI,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, MES/POP/APS, FEMS, 클라우드컴퓨팅","식료품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 산업용 기계 및 장비 수리업"
주식회사화인소프트,강현식,서울특별시 구로구 디지털로33길 50 (구로동) 1204호,ERP,미등록,"식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 지앤씨소프트코리아,권광칠,광주광역시 북구 첨단과기로208번길 43-22(오룡동) 와어이스파크(지식산업센터) B동 1701호,MES/POP/APS,"산업용로봇, SCM/WMS","식료품 제조업, 음료 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
알고스,조승혁,전북특별자치도 전주시 덕진구 반룡로 109 (팔복동2가),MES/POP/APS,"산업용로봇, 스마트장비, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, FEMS, 클라우드컴퓨팅, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
엔에이치아이에스 주식회사,노헌진,"광주광역시 서구 천변좌하로 266, 401호 (치평동)",MES/POP/APS,미등록,"섬유제품 제조업; 의복 제외, 기타 제품 제조업"
굿파트너스(주),김형필,전북특별자치도 전주시 덕진구 만성북로 51-25 (만성동),ERP,"PLM/PDM, SCM/WMS, MES/POP/APS","식료품 제조업, 자동차 및 트레일러 제조업"
(주)티지에스컨설팅,정호모,부산광역시 해운대구 해운대해변로 203 (우동) 오션타워 1330호,MES/POP/APS,"식별시스템/머신비전, ERP, SCM/WMS","식료품 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업"
(주)명문소프트웨어,김경애,경기도 고양시 일산동구 무궁화로 39 (장항동),ERP,"SCM/WMS, MES/POP/APS","가죽. 가방 및 신발 제조업, 기타 기계 및 장비 제조업, 가구 제조업"
(유)에이블에스티에이,이경석,"전라북도 전주시 완산구 홍산로 269, 3F-321 (효자동2가)",MES/POP/APS,"스마트장비, 제어시스템/컨트롤러, FEMS, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
주식회사 에이치아이디,정승일,경기도 부천시 삼작로 22 (삼정동) 101동908호(삼정동 부천테크노파크 1차),MES/POP/APS,"스마트장비, 제어시스템/컨트롤러, 클라우드컴퓨팅","식료품 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
주식회사 비즈코퍼레이션,배인식,부산광역시 강서구 대저로63번길 30 (대저1동),MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, SCM/WMS, 제조빅데이터/제조AI","금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 큐오,박휘명,경기도 광주시 고불로46번길 32(중대동),제조빅데이터/제조AI,"스마트장비, 식별시스템/머신비전, MES/POP/APS","의복. 의복 액세서리 및 모피제품 제조업, 고무 및 플라스틱제품 제조업, 기타 제품 제조업"
스마트쿱(주),이역수,서울특별시 금천구 두산로 70 (독산동),제조빅데이터/제조AI,"식별시스템/머신비전, MES/POP/APS, FEMS","식료품 제조업, 가죽. 가방 및 신발 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업"
테크와이드(주),김광우,서울특별시 금천구 디지털로10길 78 (가산동),클라우드컴퓨팅,센서/액추에이터,"식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 펄프. 종이 및 종이제품 제조업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)디엠테크놀러지,조창제,대구광역시 달성군 구지면 국가산단대로33길 245,산업용로봇,식별시스템/머신비전,"기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
세종뉴텍 주식회사,오세종,경기도 고양시 덕양구 청초로 66 (덕은동),스마트장비,"산업용로봇, 제어시스템/컨트롤러, 센서/액추에이터, MES/POP/APS","식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업"
(주)에이치알티시스템,김만구,대구광역시 북구 3공단로 140-1 (노원동3가),산업용로봇,"제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
(주)아이티기술,정태영,서울특별시 송파구 법원로4길 5 (문정동),PLM/PDM,"MES/POP/APS, QMS/CMMS","기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
(주)이노텍,조규삼,경상남도 창원시 성산구 연덕로27번길 52 (웅남동),산업용로봇,미등록,"목재 및 나무제품 제조업; 가구 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 가구 제조업, 기타 제품 제조업"
(주)더모인비,이원길,서울특별시 강서구 공항대로 303 (등촌동),MES/POP/APS,ERP,"식료품 제조업, 목재 및 나무제품 제조업; 가구 제외, 인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 가구 제조업"
(주)에스엔제이솔루션,송성빈,"광주광역시 북구 첨단과기로 333 (대촌동), 생활지원로봇센터 405호",산업용로봇,"제어시스템/컨트롤러, 센서/액추에이터","기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)티알,윤찬필,경상남도 김해시 장유로55번길 43-32 (부곡동),제어시스템/컨트롤러,"산업용로봇, 식별시스템/머신비전",기타 기계 및 장비 제조업
주식회사 쓰리데이즈,안종윤,"서울특별시 서초구 강남대로37길 49 (서초동), 4층, 490호(서초동, 애서니움빌딩)",MES/POP/APS,ERP,"식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)위드아이티,정진호,대구광역시 수성구 화랑로 204 (만촌동) 동문빌딩5층,MES/POP/APS,미등록,자동차 및 트레일러 제조업
주식회사 디코,황준철,"충청남도 천안시 서북구 성거읍 오목모전길 56-13, 주식회사 디코",식별시스템/머신비전,"산업용로봇, 제어시스템/컨트롤러, 제조빅데이터/제조AI","식료품 제조업, 섬유제품 제조업; 의복 제외, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 자동차 및 트레일러 제조업, 가구 제조업, 기타 제품 제조업"
(주)비엔씨정보기술,박병길,부산광역시 금정구 금강로 682-10 (남산동) IT밸리 4층,MES/POP/APS,"ERP, SCM/WMS","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
가온소프트(주),송정훈,"경상남도 창원시 마산회원구 봉암공단 13길 15-13, 나래관 3층",MES/POP/APS,"ERP, PLM/PDM, SCM/WMS, QMS/CMMS, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(유)인터테크,신동옥,전라남도 목포시 석현로 46 (석현동) 문화산업지원센터 204호,MES/POP/APS,"산업용로봇, 통신네트워크장비, ERP, FEMS","화학 물질 및 화학제품 제조업; 의약품 제외, 1차 금속 제조업"
에이치엠씨,조현숙,"서울특별시 강서구 마곡중앙4로 18, (마곡동, 마곡그랑트윈타워) 제B동 605호",MES/POP/APS,"산업용로봇, 스마트장비, 제어시스템/컨트롤러, 센서/액추에이터, ERP, FEMS, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 인쇄 및 기록매체 복제업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
피디엠테크,서정진,대구광역시 달서구 달서대로 559 (신당동),MES/POP/APS,"클라우드컴퓨팅, CPS/디지털트윈, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 제품 제조업"
솔뱅크정보주식회사,홍승환,서울특별시 금천구 디지털로 121 (가산동),MES/POP/APS,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 통신네트워크장비, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
(주)코티스,김철하,부산광역시 금정구 두실로 25 (구서동) 2층,MES/POP/APS,미등록,"화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
(주)와이드티엔에스,조정래,서울 금천구 가산동 대륭테크노타운12차 12층,제조빅데이터/제조AI,"스마트장비, MES/POP/APS, CPS/디지털트윈","식료품 제조업, 음료 제조업, 담배 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)엘렉시,서장원,서울특별시 송파구 법원로8길 8 (문정동),제조빅데이터/제조AI,미등록,"고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)홍익솔브,김유호,광주광역시 광산구 평동매화길 13-1 (지죽동),MES/POP/APS,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, ERP, 클라우드컴퓨팅","금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 애드아임,이희관,전라북도 전주시 덕진구 유상로 67 (팔복동2가),제어시스템/컨트롤러,"스마트장비, 센서/액추에이터, CPS/디지털트윈, 제조빅데이터/제조AI","1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)씨소,"강병두, 경동욱",서울특별시 강서구 양천로 424 (등촌동),스마트장비,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, SCM/WMS, MES/POP/APS, 제조빅데이터/제조AI, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 코크스. 연탄 및 석유정제품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)이즈소프트,강창국,대구광역시 동구 공항로56길 5 (지저동),MES/POP/APS,"SCM/WMS, QMS/CMMS","식료품 제조업, 인쇄 및 기록매체 복제업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)에이치지씨,김태현,대구광역시 달서구 성서서로40길 8 (갈산동),MES/POP/APS,"SCM/WMS, QMS/CMMS, CPS/디지털트윈, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
(주)프렉소프트,민동현,광주광역시 북구 첨단과기로208번길 43-22(오룡동) B동 601호,MES/POP/APS,ERP,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
경동로봇,윤정임,대구광역시 북구 3공단로25길 16 (노원동3가),산업용로봇,미등록,기타 기계 및 장비 제조업
주식회사 상동,신상철,대구광역시 서구 문화로 22-18 (이현동),MES/POP/APS,"산업용로봇, 스마트장비","섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업"
굿티소프트,남경필,"대구광역시 중구 달구벌대로 2020(남산동 3016, e편한세상(오) 남산) 301/1501",CPS/디지털트윈,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
레이월드,류지창,대구광역시 동구 매여로1길 37-12(상매동),MES/POP/APS,미등록,"식료품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
주식회사 나이스테크,정광남,서울특별시 금천구 가산디지털1로 128(가산동) 에스티엑스브이타워 512호,MES/POP/APS,"스마트장비, PLM/PDM","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업"
(주)앰플소프트,전원현,광주광역시 북구 일곡마을로152번길 3-8(일곡동) 1층,MES/POP/APS,미등록,"식료품 제조업, 인쇄 및 기록매체 복제업"
주식회사 오토,윤정열,"대구광역시 남구 효서2길 7 (봉덕동, 태성맨션) 102동 905호",MES/POP/APS,"제어시스템/컨트롤러, 제조빅데이터/제조AI","식료품 제조업, 펄프. 종이 및 종이제품 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업"
(주)다윈솔루션,채수문,서울특별시 금천구 가산디지털2로 169-23 (가산동),MES/POP/APS,제조빅데이터/제조AI,"식료품 제조업, 고무 및 플라스틱제품 제조업, 기타 운송장비 제조업"
에이닷 주식회사,신현수,대구광역시 동구 경안로 850 (각산동),MES/POP/APS,"제어시스템/컨트롤러, 통신네트워크장비, SCM/WMS, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
아리아리ICT,박퇴경,경상남도 창원시 진해구 장복대로 171(자은동) 다온빌딩405호,FEMS,"통신네트워크장비, 제조빅데이터/제조AI","식료품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
주식회사 이글이비전,방수온,광주광역시 북구 첨단과기로 123 (오룡동),식별시스템/머신비전,미등록,"식료품 제조업, 섬유제품 제조업; 의복 제외, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 기타 기계 및 장비 제조업"
씨엔티,이대엽,울산광역시 중구 동천1길 40 (서동),MES/POP/APS,SCM/WMS,"자동차 및 트레일러 제조업, 기타 제품 제조업"
한텍,이진국,경상남도 창원시 의창구 대산면 가술산단남로 72,MES/POP/APS,스마트장비,"고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)에스지소프트,서우혁,대구광역시 달서구 성서공단로 328 (월성동),MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, ERP, SCM/WMS","비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
리먼,임영웅,경기도 화성시 메타폴리스로 42 (반송동),ERP,"제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","식료품 제조업, 고무 및 플라스틱제품 제조업"
(주)아이씨엔아이티,김 은수,서울특별시 구로구 디지털로33길 12 (구로동),ERP,"식별시스템/머신비전, 센서/액추에이터, SCM/WMS, MES/POP/APS, 제조빅데이터/제조AI","섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 자동차 및 트레일러 제조업, 기타 제품 제조업"
대웅소프트(주),박재훈,대구광역시 달서구 월곡로100길 14 (월성동) 대웅소프트(주),ERP,"SCM/WMS, MES/POP/APS","목재 및 나무제품 제조업; 가구 제외, 기타 기계 및 장비 제조업, 가구 제조업, 기타 제품 제조업"
주식회사 이지엠,김창렬,전라남도 광양시 광양읍 익신산단3길 40,MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
OK버원시스템,신종호,경상남도 양산시 북정5길 33 (북정동) 1층 101호,MES/POP/APS,"식별시스템/머신비전, 통신네트워크장비, SCM/WMS, QMS/CMMS","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 제품 제조업"
주식회사에이피씨소프트,김경재,인천광역시 연수구 송도과학로 32(송도동),MES/POP/APS,QMS/CMMS,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업"
주식회사 평화아이씨티,김명곤,경기도 남양주시 순화궁로 249(별내동) N동 712호,MES/POP/APS,식별시스템/머신비전,섬유제품 제조업; 의복 제외
