기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
(주) 에이씨앤티시스템,권태상,경기도 안양시 동안구 엘에스로91번길 16-11 (호계동) AC&T B/D,MES/POP/APS,"제어시스템/컨트롤러, 통신네트워크장비, FEMS","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)엔와이티지,김성찬,경기도 성남시 중원구 갈마치로 302 (상대원동),ERP,미등록,"음료 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 산업용 기계 및 장비 수리업"
에이치씨엔씨,이영우,경기도 성남시 분당구 판교로255번길 9-22 (삼평동)우림 W-City 3층,산업용로봇,"제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, MES/POP/APS, QMS/CMMS, 제조빅데이터/제조AI","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
징코스테크놀러지,채연근,서울특별시 금천구 가산디지털1로 128 (가산동) STX V타워 1203호,통신네트워크장비,"산업용로봇, ERP, MES/POP/APS, CPS/디지털트윈, 제조빅데이터/제조AI, 컨설팅/사이버보안","고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)이노로봇,한인호,경기도 안산시 단원구 별망로 597-7 (원시동),산업용로봇,"제어시스템/컨트롤러, MES/POP/APS","1차 금속 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
다우데이타,김상준,서울특별시 마포구 독막로 311 (염리동),PLM/PDM,"ERP, MES/POP/APS, 클라우드컴퓨팅, AR/VR/MR, 컨설팅/사이버보안","전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
주식회사 이노비,김승철,경기도 의왕시 광진말로 54 (초평동),MES/POP/APS,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, PLM/PDM, FEMS, QMS/CMMS, CPS/디지털트윈, 제조빅데이터/제조AI, AR/VR/MR","식료품 제조업, 음료 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)사이버테크프랜드,김정혁,"경기도 하남시 조정대로 150, 951호(덕풍동, 아이테코)",MES/POP/APS,"스마트장비, 센서/액추에이터, ERP, QMS/CMMS, CPS/디지털트윈, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업"
주식회사 와이알솔루션,최범용,인천광역시 연수구 인천타워대로 323(송도동) 비동30층 브이 461호,제조빅데이터/제조AI,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS","식료품 제조업, 섬유제품 제조업; 의복 제외, 목재 및 나무제품 제조업; 가구 제외, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
주식회사 사라시스템,손경수,경기도 부천시 원미구 평천로 655 (약대동),MES/POP/APS,"스마트장비, 센서/액추에이터, SCM/WMS, QMS/CMMS, CPS/디지털트윈","식료품 제조업, 음료 제조업, 인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
